,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,monday,tuesday,wednesday,thursday,friday,saturday,sunday,category_analized
12,"lqnxbW_tBgxpo7iLPXc60A","Xochi Modern Taqueria & More","36 W Skippack Pike","Ambler","PA","19002",40.1391506,-75.2457702,4.5,69,false,"""RestaurantsReservations"":""True"",""OutdoorSeating"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""WiFi"":""u'free'"",""GoodForKids"":""True"",""GoodForMeal"":""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""BikeParking"":""True"",""RestaurantsAttire"":""u'casual'"",""WheelchairAccessible"":""True"",""HasTV"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""Caters"":""True"",""RestaurantsTakeOut"":""True"",""NoiseLevel"":""u'quiet'"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsTableService"":""True"",""Alcohol"":""u'none'"",""RestaurantsGoodForGroups"":""True""}","Juice Bars & Smoothies, Empanadas, Food, New Mexican Cuisine, Mexican, Restaurants","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-22:0  ","17:0-22:0  ","17:0-20:0  ","Restaurants"
13,"RkyEwJMQymYAjQ5yXw6q3w","Massa","131 E Butler Ave","Ambler","PA","19002",40.1552083239,-75.2209419726,3.5,56,false,"""GoodForKids"":""False"",""RestaurantsReservations"":""True"",""BusinessAcceptsCreditCards"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""NoiseLevel"":""u'average'"",""OutdoorSeating"":""False"",""RestaurantsDelivery"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""WiFi"":""u'free'"",""Alcohol"":""u'none'"",""RestaurantsPriceRange2"":""2"",""HasTV"":""False"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""BusinessAcceptsBitcoin"":""False"",""BikeParking"":""True""}","Mediterranean, Pizza, Restaurants","           ","11:30-22:0 ","11:30-22:0 ","11:30-22:0 ","11:30-22:0 ","11:30-22:0 ","15:0-21:0  ","Restaurants"
14,"DE8wVXVQ5JNsRVZcLpOARg","Abyss Coffee","30 S Bethlehem Pike","Ambler","PA","19002",40.1590944427,-75.2148498595,3.5,83,true,"""HasTV"":""False"",""BusinessAcceptsCreditCards"":""True"",""BusinessAcceptsBitcoin"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsAttire"":""'casual'"",""Caters"":""True"",""RestaurantsDelivery"":""False"",""Alcohol"":""u'none'"",""GoodForKids"":""True"",""WheelchairAccessible"":""True"",""RestaurantsPriceRange2"":""1"",""HappyHour"":""False"",""RestaurantsTableService"":""False"",""OutdoorSeating"":""True"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""DogsAllowed"":""False"",""WiFi"":""u'free'"",""RestaurantsReservations"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""True"",""DriveThru"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Food, Restaurants, Sandwiches, Coffee & Tea, Breakfast & Brunch, Soup, Bakeries","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","Restaurants"
15,"3A3XWyj7ELQk90ydn8d2gg","Horsham Pub","1144 Horsham Rd","Ambler","PA","19002",40.2120290728,-75.1848096109,3.5,40,false,"""Caters"":""True"",""RestaurantsReservations"":""False"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""HasTV"":""True"",""BusinessAcceptsCreditCards"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BikeParking"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsTakeOut"":""True"",""WiFi"":""'free'"",""RestaurantsDelivery"":""False"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""OutdoorSeating"":""False"",""HappyHour"":""True""}","American (New), Food, Beer, Wine & Spirits, Bars, Restaurants, Pubs, Nightlife","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","Restaurants"
16,"tFIbiGdjBYKvywqLVopd4A","Tamarindos Restaurant","36 W Skippack Pike","Ambler","PA","19002",40.1392027,-75.245701,4,79,false,"""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""BusinessAcceptsCreditCards"":""True"",""Alcohol"":""u'none'"",""HasTV"":""False"",""RestaurantsDelivery"":""False"",""RestaurantsAttire"":""'casual'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""OutdoorSeating"":""False"",""RestaurantsReservations"":""True"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""NoiseLevel"":""u'average'"",""WiFi"":""u'no'"",""Caters"":""True""}","Restaurants, Mexican","           ","17:0-21:30 ","17:0-21:30 ","17:0-21:30 ","17:0-22:30 ","17:0-22:30 ","16:30-21:30","Restaurants"
17,"r8k5KtXqb9yxlMGE0BF6jA","Ristorante Imperatore at Blue Bell","36 W Skippack Pike","Ambler","PA","19002",40.1391452,-75.2457332,4,52,true,"""RestaurantsTakeOut"":""True"",""RestaurantsReservations"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""RestaurantsDelivery"":""True""}","Restaurants, Italian, Mediterranean","           ","15:30-21:0 ","15:30-21:0 ","15:30-21:0 ","15:30-22:0 ","15:30-22:0 ","           ","Restaurants"
18,"xUAxWsdyk6GKAAou23wSQg","Thai Aroma","40 W Skippack Pike","Ambler","PA","19002",40.13935,-75.2460681,4,22,false,"""NoiseLevel"":""u'quiet'"",""RestaurantsDelivery"":""True"",""RestaurantsTakeOut"":""True"",""HasTV"":""False"",""RestaurantsReservations"":""True"",""GoodForKids"":""True"",""Alcohol"":""u'none'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""Ambience"":""{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsPriceRange2"":""2"",""RestaurantsGoodForGroups"":""True"",""OutdoorSeating"":""False""}","Thai, Restaurants","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-22:0  ","17:0-22:0  ","17:0-21:0  ","Restaurants"
19,"fiGh8ctcvIRm4Ii2GOtoHQ","Trax Restaurant and Cafe","27 W Butler Pike","Ambler","PA","19002",40.1535596076,-75.2251111929,3.5,46,false,"""GoodForKids"":""False"",""RestaurantsReservations"":""True"",""RestaurantsPriceRange2"":""3"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""HasTV"":""False"",""Alcohol"":""u'none'"",""OutdoorSeating"":""True"",""RestaurantsTakeOut"":""True"",""NoiseLevel"":""u'loud'"",""WiFi"":""u'free'"",""BikeParking"":""True"",""RestaurantsGoodForGroups"":""False"",""BYOBCorkage"":""'yes_free'"",""RestaurantsDelivery"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""Ambience"":""{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""Caters"":""False""}","Restaurants, American (New), American (Traditional)","           ","16:30-22:0 ","16:30-22:0 ","16:30-22:0 ","16:30-22:0 ","16:30-22:0 ","           ","Restaurants"
20,"ANbQwZEtt-b2JeEruRPi2A","Buutchiis Grille","35 E Butler Ave","Ambler","PA","19002",40.1542631,-75.2229125,4.5,86,true,"""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsReservations"":""False"",""WheelchairAccessible"":""True"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""BusinessAcceptsBitcoin"":""False"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""DogsAllowed"":""False"",""Alcohol"":""u'none'"",""Caters"":""True"",""HappyHour"":""False"",""WiFi"":""u'no'"",""OutdoorSeating"":""False"",""RestaurantsDelivery"":""True""}","Caribbean, Food Trucks, Food, African, Restaurants","           ","           ","16:0-20:0  ","16:0-20:0  ","16:0-21:0  ","16:0-21:0  ","12:0-18:0  ","Restaurants"
21,"oWk7BiqZG99slmVSq6fmWQ","Philly's Phamous Steaks & Hoagies","36 Tennis Ave","Ambler","PA","19002",40.157836,-75.2260089,3,88,true,"""GoodForKids"":""True"",""Caters"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Alcohol"":""u'none'"",""RestaurantsPriceRange2"":""1"",""RestaurantsReservations"":""False"",""OutdoorSeating"":""True"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsDelivery"":""True"",""HasTV"":""True"",""NoiseLevel"":""u'quiet'"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""BikeParking"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsGoodForGroups"":""True"",""WiFi"":""u'free'""}","American (Traditional), American (New), Steakhouses, Restaurants, Food, Cheesesteaks","10:0-21:0  ","10:0-21:0  ","10:0-21:0  ","10:0-21:0  ","10:0-22:0  ","10:0-21:0  ","10:0-21:0  ","Restaurants"
22,"q0HDybhT0V9dXrs63_WqWQ","Costa Deli","901 E Butler Pike","Ambler","PA","19002",40.1596506,-75.2149282,4.5,83,true,"""RestaurantsReservations"":""False"",""GoodForKids"":""True"",""RestaurantsAttire"":""u'casual'"",""OutdoorSeating"":""True"",""NoiseLevel"":""u'average'"",""HasTV"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""WiFi"":""u'free'"",""Alcohol"":""u'none'"",""BikeParking"":""True"",""RestaurantsGoodForGroups"":""False"",""RestaurantsPriceRange2"":""1"",""RestaurantsTakeOut"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"",""ByAppointmentOnly"":""False"",""RestaurantsTableService"":""True"",""Corkage"":""False"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""BYOB"":""True"",""Caters"":""True"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsDelivery"":""True"",""WheelchairAccessible"":""True""}","Ice Cream & Frozen Yogurt, Restaurants, Sandwiches, Breakfast & Brunch, Food, Cupcakes, Italian, Cheesesteaks, American (Traditional), Delis","7:0-20:0   ","7:0-20:0   ","7:0-20:0   ","7:0-20:0   ","7:0-20:0   ","8:0-20:0   ","8:0-18:0   ","Restaurants"
23,"rn6WVxqd_RQ14VXBfk0rVg","Rosey's BBQ","9 N Main St","Ambler","PA","19002",40.1539682,-75.2240103,3,19,false,"""NoiseLevel"":""u'average'"",""Ambience"":""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""RestaurantsPriceRange2"":""2"",""HasTV"":""False"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""RestaurantsDelivery"":""False"",""Alcohol"":""u'none'"",""WiFi"":""u'no'"",""GoodForKids"":""True"",""OutdoorSeating"":""False"",""RestaurantsReservations"":""False"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsGoodForGroups"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsAttire"":""u'casual'""}","Restaurants, Barbeque","           ","           ","11:0-21:0  ","11:0-21:0  ","11:0-22:0  ","11:0-22:0  ","12:0-20:0  ","Restaurants"
